0.981 (+/-0.002) for {'gamma': 0.1, 'C': 1, 'degree': 8, 'kernel': 'poly'}
0.981 (+/-0.002) for {'gamma': 0.01, 'C': 1, 'degree': 8, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.001, 'C': 1, 'degree': 8, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.0001, 'C': 1, 'degree': 8, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 1, 'degree': 8, 'kernel': 'poly'}


0.980 (+/-0.002) for {'gamma': 0.1, 'C': 1, 'degree': 9, 'kernel': 'poly'}
0.980 (+/-0.002) for {'gamma': 0.01, 'C': 1, 'degree': 9, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.001, 'C': 1, 'degree': 9, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.0001, 'C': 1, 'degree': 9, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 1, 'degree': 9, 'kernel': 'poly'}


0.980 (+/-0.001) for {'gamma': 0.1, 'C': 1, 'degree': 10, 'kernel': 'poly'}
0.980 (+/-0.001) for {'gamma': 0.01, 'C': 1, 'degree': 10, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.001, 'C': 1, 'degree': 10, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.0001, 'C': 1, 'degree': 10, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 1, 'degree': 10, 'kernel': 'poly'}


0.974 (+/-0.002) for {'gamma': 0.1, 'C': 10, 'degree': 1, 'kernel': 'poly'}
0.974 (+/-0.002) for {'gamma': 0.01, 'C': 10, 'degree': 1, 'kernel': 'poly'}
0.956 (+/-0.003) for {'gamma': 0.001, 'C': 10, 'degree': 1, 'kernel': 'poly'}
0.887 (+/-0.003) for {'gamma': 0.0001, 'C': 10, 'degree': 1, 'kernel': 'poly'}
0.681 (+/-0.004) for {'gamma': 1e-05, 'C': 10, 'degree': 1, 'kernel': 'poly'}

0.979 (+/-0.001) for {'gamma': 0.1, 'C': 10, 'degree': 2, 'kernel': 'poly'}
0.978 (+/-0.002) for {'gamma': 0.01, 'C': 10, 'degree': 2, 'kernel': 'poly'}
0.947 (+/-0.002) for {'gamma': 0.001, 'C': 10, 'degree': 2, 'kernel': 'poly'}
0.520 (+/-0.001) for {'gamma': 0.0001, 'C': 10, 'degree': 2, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 10, 'degree': 2, 'kernel': 'poly'}

0.980 (+/-0.001) for {'gamma': 0.1, 'C': 10, 'degree': 3, 'kernel': 'poly'}
0.980 (+/-0.001) for {'gamma': 0.01, 'C': 10, 'degree': 3, 'kernel': 'poly'}
0.913 (+/-0.002) for {'gamma': 0.001, 'C': 10, 'degree': 3, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.0001, 'C': 10, 'degree': 3, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 10, 'degree': 3, 'kernel': 'poly'}

0.980 (+/-0.002) for {'gamma': 0.1, 'C': 10, 'degree': 4, 'kernel': 'poly'}
0.980 (+/-0.002) for {'gamma': 0.01, 'C': 10, 'degree': 4, 'kernel': 'poly'}
0.846 (+/-0.003) for {'gamma': 0.001, 'C': 10, 'degree': 4, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.0001, 'C': 10, 'degree': 4, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 10, 'degree': 4, 'kernel': 'poly'}

0.980 (+/-0.002) for {'gamma': 0.1, 'C': 10, 'degree': 5, 'kernel': 'poly'}
0.980 (+/-0.002) for {'gamma': 0.01, 'C': 10, 'degree': 5, 'kernel': 'poly'}
0.684 (+/-0.002) for {'gamma': 0.001, 'C': 10, 'degree': 5, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.0001, 'C': 10, 'degree': 5, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 10, 'degree': 5, 'kernel': 'poly'}

0.981 (+/-0.002) for {'gamma': 0.1, 'C': 10, 'degree': 6, 'kernel': 'poly'}
0.981 (+/-0.002) for {'gamma': 0.01, 'C': 10, 'degree': 6, 'kernel': 'poly'}
0.608 (+/-0.003) for {'gamma': 0.001, 'C': 10, 'degree': 6, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.0001, 'C': 10, 'degree': 6, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 10, 'degree': 6, 'kernel': 'poly'}

0.981 (+/-0.002) for {'gamma': 0.1, 'C': 10, 'degree': 7, 'kernel': 'poly'}
0.981 (+/-0.002) for {'gamma': 0.01, 'C': 10, 'degree': 7, 'kernel': 'poly'}
0.556 (+/-0.003) for {'gamma': 0.001, 'C': 10, 'degree': 7, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.0001, 'C': 10, 'degree': 7, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 10, 'degree': 7, 'kernel': 'poly'}

0.981 (+/-0.002) for {'gamma': 0.1, 'C': 10, 'degree': 8, 'kernel': 'poly'}
0.981 (+/-0.002) for {'gamma': 0.01, 'C': 10, 'degree': 8, 'kernel': 'poly'}
0.504 (+/-0.001) for {'gamma': 0.001, 'C': 10, 'degree': 8, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.0001, 'C': 10, 'degree': 8, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 10, 'degree': 8, 'kernel': 'poly'}

0.980 (+/-0.002) for {'gamma': 0.1, 'C': 10, 'degree': 9, 'kernel': 'poly'}
0.980 (+/-0.002) for {'gamma': 0.01, 'C': 10, 'degree': 9, 'kernel': 'poly'}
0.473 (+/-0.002) for {'gamma': 0.001, 'C': 10, 'degree': 9, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.0001, 'C': 10, 'degree': 9, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 10, 'degree': 9, 'kernel': 'poly'}

0.980 (+/-0.001) for {'gamma': 0.1, 'C': 10, 'degree': 10, 'kernel': 'poly'}
0.980 (+/-0.001) for {'gamma': 0.01, 'C': 10, 'degree': 10, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.001, 'C': 10, 'degree': 10, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.0001, 'C': 10, 'degree': 10, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 10, 'degree': 10, 'kernel': 'poly'}

0.974 (+/-0.002) for {'gamma': 0.1, 'C': 100, 'degree': 1, 'kernel': 'poly'}
0.974 (+/-0.002) for {'gamma': 0.01, 'C': 100, 'degree': 1, 'kernel': 'poly'}
0.974 (+/-0.002) for {'gamma': 0.001, 'C': 100, 'degree': 1, 'kernel': 'poly'}
